,Unnamed: 0,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed,agent_id,agent_name
141,141,-1,370.0,-1,-1,8200000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
142,142,-1,330.0,-1,-1,8400000,-1,-1,1.0993425858290722,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
143,143,-1,420.0,-1,-1,8600000,-1,-1,1.4280496712929145,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
144,144,-1,370.0,-1,-1,8800000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
145,145,-1,280.0,-1,-1,9000000,-1,-1,0.91672753834916,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
146,146,-1,370.0,-1,-1,9200000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
147,147,-1,490.0,-1,-1,9400000,-1,-1,1.6837107377647915,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
148,148,-1,330.0,-1,-1,9600000,-1,-1,1.0993425858290722,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
149,149,-1,390.0,-1,-1,9800000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
150,150,-1,300.0,-1,-1,10000000,-1,-1,0.9897735573411248,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
151,151,-1,470.0,-1,-1,10200000,-1,-1,1.610664718772827,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
152,152,-1,460.0,-1,-1,10400000,-1,-1,1.5741417092768444,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
153,153,-1,420.0,-1,-1,10600000,-1,-1,1.4280496712929145,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
154,154,-1,340.0,-1,-1,10800000,-1,-1,1.1358655953250547,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
155,155,-1,400.0,-1,-1,11000000,-1,-1,1.3550036523009494,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
156,156,-1,440.0,-1,-1,11200000,-1,-1,1.501095690284879,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
157,157,-1,480.0,-1,-1,11400000,-1,-1,1.6471877282688092,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
158,158,-1,330.0,-1,-1,11600000,-1,-1,1.0993425858290722,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
159,159,-1,410.0,-1,-1,11800000,-1,-1,1.391526661796932,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
160,160,-1,380.0,-1,-1,12000000,-1,-1,1.2819576333089846,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
161,161,-1,360.0,-1,-1,12200000,-1,-1,1.2089116143170198,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
162,162,-1,370.0,-1,-1,12400000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
163,163,-1,390.0,-1,-1,12600000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
164,164,-1,500.0,-1,-1,12800000,-1,-1,1.7202337472607745,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
165,165,-1,430.0,-1,-1,13000000,-1,-1,1.464572680788897,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
166,166,-1,440.0,-1,-1,13200000,-1,-1,1.501095690284879,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
167,167,-1,470.0,-1,-1,13400000,-1,-1,1.610664718772827,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
168,168,-1,420.0,-1,-1,13600000,-1,-1,1.4280496712929145,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
169,169,-1,430.0,-1,-1,13800000,-1,-1,1.464572680788897,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
170,170,-1,390.0,-1,-1,14000000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
171,171,-1,390.0,-1,-1,14200000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
172,172,-1,390.0,-1,-1,14400000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
173,173,-1,380.0,-1,-1,14600000,-1,-1,1.2819576333089846,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
174,174,-1,400.0,-1,-1,14800000,-1,-1,1.3550036523009494,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
175,175,-1,430.0,-1,-1,15000000,-1,-1,1.464572680788897,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
176,176,-1,330.0,-1,-1,15200000,-1,-1,1.0993425858290722,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
177,177,-1,410.0,-1,-1,15400000,-1,-1,1.391526661796932,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
178,178,-1,460.0,-1,-1,15600000,-1,-1,1.5741417092768444,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
179,179,-1,230.0,-1,-1,15800000,-1,-1,0.7341124908692476,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
180,180,-1,290.0,-1,-1,16000000,-1,-1,0.9532505478451424,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
181,181,-1,380.0,-1,-1,16200000,-1,-1,1.2819576333089846,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
182,182,-1,410.0,-1,-1,16400000,-1,-1,1.391526661796932,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
183,183,-1,380.0,-1,-1,16600000,-1,-1,1.2819576333089846,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
184,184,-1,420.0,-1,-1,16800000,-1,-1,1.4280496712929145,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
185,185,-1,390.0,-1,-1,17000000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
186,186,-1,360.0,-1,-1,17200000,-1,-1,1.2089116143170198,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
187,187,-1,370.0,-1,-1,17400000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
188,188,-1,470.0,-1,-1,17600000,-1,-1,1.610664718772827,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
189,189,-1,370.0,-1,-1,17800000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
190,190,-1,390.0,-1,-1,18000000,-1,-1,1.3184806428049671,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
